Number,Block,Base,Fluff,Forehead,Belly,Mood,Nose,Tail,Pelt,Outline,Paws,Head,Face,Bottoms,Top,Tools,Unique,Status,Price,Offer,MaxOffer
1624,12085917,Classic,NA,NA,NA,Pleased,Orange,NA,Orange Brown Stripes,NA,NA,Another Red Beanie,NA,NA,NA,Green Saber,NA,for_sale,1.88,0,0.0
1625,12085915,Classic,NA,NA,Blue,Meh,NA,NA,NA,Green,NA,NA,Pink Purple Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
1626,12085922,Blush,NA,NA,NA,Meh,Pink,NA,Brown Spots,NA,NA,NA,Yellow Orange Shades,NA,Orange Flowers,Berry Ice Pop,NA,unlisted,0.0,0,0.0
1627,12085923,Passion Fruit,NA,NA,NA,Meh,NA,NA,NA,Light Blue,NA,Teal Hat,Yellow Orange Shades,NA,Green Bandana,NA,NA,for_sale,0.78,0,0.0
1628,12085921,Passion Fruit,NA,NA,NA,Pleased,Brown,Brown,NA,Pink,NA,Purple Bow,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
1629,12085829,Fern,NA,NA,NA,Pleased,NA,Light Brown,NA,NA,NA,NA,Green Goggles,Pink,NA,NA,NA,unlisted,0.0,0,0.0
1630,12085929,Blush,NA,NA,NA,Happy,Brown,NA,The White Stripes,NA,NA,NA,NA,NA,Blue Bandana,Strawberry Ice Cream,NA,for_sale,1.2,0,0.0
1631,12085926,Steel,NA,NA,NA,Silly,NA,Sage,NA,NA,NA,NA,VR Green,Blue,NA,Green Saber,NA,for_sale,0.398,0,0.0
1632,12085935,Free Britney,NA,NA,NA,Meh,Grey,NA,NA,NA,NA,NA,Skeptical Brows,NA,NA,Strawberry Ice Cream,NA,unlisted,0.0,0,0.0
1633,12085937,Ocean,NA,NA,Blue,Happy,NA,NA,NA,NA,NA,Grey Crown,Over It Brows,Green,NA,NA,NA,for_sale,0.1,0,0.0
1634,12085938,Lavender,NA,NA,NA,Silly,NA,Tan,NA,Light Blue,NA,Grey Crown,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
1635,12085939,Pistachio,NA,Blue,Blue,Meh,Very Cold,NA,NA,NA,NA,NA,Blue Readers,NA,Yellow Bandana,NA,NA,for_sale,0.3,0,0.0
1636,12085689,Dark Grey,NA,NA,NA,Pleased,NA,Blue,NA,NA,NA,Pinkish Sweatband,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
1637,12085941,Free Britney,NA,NA,NA,Silly,NA,Sage,NA,NA,Pastel,Bug,Alert Brows,Blue,NA,NA,NA,unlisted,0.0,0,0.0
1638,12085940,Carmel,NA,NA,NA,Silly,NA,NA,NA,NA,NA,NA,Curious Brows,NA,NA,NA,NA,for_sale,0.77,0,0.0
1639,12085943,Lavender,NA,Blue,NA,Silly,Pink,Purple,NA,NA,Purples,Purple Bow,VR Green,NA,Purple Bandana,NA,NA,unlisted,0.0,0,0.0
1640,12085947,Cornflower,NA,Blue,Off White,Happy,NA,NA,NA,Grey,NA,Dark Pink Sweatband,Yellow Goggles,NA,NA,Strawberry Ice Cream,NA,for_sale,0.5,0,0.0
1641,12085948,Classic,NA,Blue,NA,Pissed,NA,NA,NA,NA,NA,NA,Kris Jenner Shades,NA,Blue Bandana,Dumbbell,NA,unlisted,0.0,0,0.0
1642,12085890,Classic,NA,NA,NA,Pleased,Brown,NA,NA,NA,Primary,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
1643,12085949,Mellow Yellow,NA,NA,NA,Happy,NA,NA,NA,NA,NA,Dark Purple Sweatband,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
1644,12085783,Classic,NA,NA,NA,Unamused,NA,NA,NA,NA,NA,NA,Blue Shield Glasses,Black,NA,NA,NA,unlisted,0.0,0,0.0
1645,12085950,Basic Pink,NA,NA,NA,Meh,NA,NA,NA,Blue,NA,Orange Bow,NA,NA,NA,Green Saber,NA,unlisted,0.0,0,0.0
1646,12085925,Coffee,NA,NA,NA,Content,NA,NA,NA,Lime,Dark Purple,NA,Purple Pink Shades,NA,Blue Collar,NA,NA,unlisted,0.0,0,0.0
1647,12085942,Coffee,NA,NA,NA,Unamused,NA,NA,White Spots,NA,NA,NA,Pissed Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
1648,12085956,Dark Grey,NA,NA,NA,Pleased,Brown,NA,NA,NA,Dark Pink,NA,Purple Pink Shades,Brown,Green Bandana,NA,NA,unlisted,0.0,0,0.0
1649,12085955,Thin Mint,NA,NA,NA,Content,NA,NA,NA,NA,Light Pink,Yellow Hat,Green Blue Goggles,NA,Yellow Bandana,NA,NA,unlisted,0.0,0,0.0
1650,12085958,Stallion,NA,NA,NA,Pleased,NA,Brown,NA,NA,Mellow Yellow,Dark Green Sweatband,Red Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
1651,12085961,Classic,NA,NA,NA,Silly,Grey,On Fire,NA,NA,Red,Tophat,NA,Black,NA,Dumbbell,NA,for_sale,2.0,0,0.0
1652,12085962,Cornflower,NA,NA,NA,Happy,NA,NA,White Spots,Lime,NA,NA,Blue Green Shades,NA,NA,NA,NA,for_sale,0.2,0,0.0
1653,12085964,Steel,NA,NA,NA,Happy,Grey,NA,NA,NA,NA,Bug,NA,NA,NA,NA,NA,for_sale,0.2,0,0.0
1654,12085818,Pistachio,NA,NA,NA,Silly,Brown,NA,NA,NA,NA,Tophat,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
1655,12085966,Steel,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,Green Blue Goggles,NA,NA,NA,NA,unlisted,0.0,0,0.0
1656,12085969,Basic Pink,NA,NA,NA,Meh,NA,NA,NA,NA,NA,Green Sweatband,NA,NA,NA,NA,NA,for_sale,0.15,0,0.0
1657,12085968,Black,NA,NA,NA,Silly,Grey,Blue,NA,NA,NA,NA,Blue Round Shades,NA,NA,NA,NA,for_sale,0.3,0,0.0
1658,12085732,Fern,NA,NA,NA,Meh,Grey,NA,NA,NA,NA,NA,VR Green,NA,NA,NA,NA,for_sale,0.3,0,0.0
1659,12085965,Grapefruit,NA,NA,NA,Meh,NA,NA,NA,NA,Purples,Orange Bow,VR Blue,NA,NA,Berry Ice Pop,NA,for_sale,1.0,0,0.0
1660,12085975,Teal,NA,NA,Brown,Happy,Pink,NA,NA,NA,NA,NA,NA,Black,Green Bandana,NA,NA,for_sale,0.1,0,0.0
1661,12085977,Classic,NA,NA,NA,Pleased,Grey,Yellow,NA,Blue,NA,NA,NA,NA,Pumpkin,NA,NA,unlisted,0.0,0,0.0
1662,12085974,Ocean,NA,NA,NA,Happy,NA,NA,NA,Brown,NA,NA,Light Orange Snorkel,NA,NA,NA,NA,for_sale,0.3,0,0.0
1663,12085972,Dark Grey,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Small Pink Bow,Green Round Shades,NA,Yellow Heart,Berry Ice Pop,NA,unlisted,0.0,0,0.0
1664,12085978,Classic Plus,NA,NA,NA,Pissed,NA,Tan,NA,NA,NA,Pinkish Sweatband,NA,Blue,NA,NA,NA,for_sale,1.0,0,0.0
1665,12085982,Black,NA,NA,NA,Content,NA,NA,NA,NA,Cold Feet,Neon Green Sweatband,Yellow Goggles,NA,NA,NA,NA,unlisted,0.0,0,0.0
1666,12085953,Basic Pink,NA,NA,NA,Content,NA,Light Green,NA,NA,NA,Purple Bow,Pissed Brows,NA,Purple Heart,NA,NA,unlisted,0.0,0,0.0
1667,12085985,Flamingo,NA,NA,Off White,Happy,Very Cold,NA,NA,Lime,NA,NA,Red Glasses,NA,Green Bandana,NA,NA,for_sale,0.14,0,0.0
1668,12085981,Free Britney,NA,NA,NA,Pleased,NA,On Fire,NA,NA,NA,NA,Pissed Brows,Green,NA,NA,NA,unlisted,0.0,0,0.0
1669,12085980,Pistachio,NA,NA,NA,Meh,NA,NA,NA,NA,NA,Small Pink Bow,Protective Goggles,NA,NA,NA,NA,for_sale,0.26,0,0.0
1670,12085986,Classic,NA,NA,NA,Pissed,NA,NA,NA,NA,Light Pink,NA,Over It Brows,NA,NA,Lemon Icepop,NA,unlisted,0.0,0,0.0
1671,12085987,Classic,NA,NA,NA,Content,NA,NA,NA,Yellow,NA,Orange Bow,Surprised Brows,NA,NA,Blueberry Icepop,NA,for_sale,0.1,0,0.0
1672,12085989,Classic,NA,Cream,NA,Pleased,NA,Yellow,NA,Green,Cold Feet,Dark Green Sweatband,NA,NA,Red Bandana,NA,NA,for_sale,0.6,0,0.0
1673,12085990,Ocean,NA,NA,NA,Unamused,Purple,NA,NA,NA,NA,NA,VR,NA,NA,NA,NA,unlisted,0.0,0,0.0
1674,12085992,Walnut,NA,NA,NA,Pissed,Pink,NA,NA,Yellow,Neon Green,Tophat,Blue Round Shades,NA,NA,NA,NA,auction,0.32,0,0.0
1675,12085996,Carmel,NA,NA,Off White,Meh,Purple,NA,NA,NA,NA,Black Sweatband,Red Glasses,Blue,NA,NA,NA,for_sale,0.6,0,0.0
1676,12085994,Free Britney,NA,NA,NA,Meh,NA,NA,NA,NA,NA,Dark Green Sweatband,Surprised Brows,Pink,NA,NA,NA,for_sale,1.0,0,0.0
1677,12085999,Passion Fruit,NA,NA,NA,Silly,NA,NA,White Spots,NA,NA,NA,NA,NA,NA,NA,NA,for_sale,1.0,0,0.0
1678,12086002,Fire,NA,NA,NA,Unamused,NA,Yellow,NA,Grey,Purples,NA,NA,NA,Tie,Dumbbell,NA,for_sale,0.8,0,0.0
1679,12086001,Stallion,NA,NA,NA,Happy,NA,Purple,NA,NA,NA,NA,NA,NA,NA,Blueberry Icepop,NA,for_sale,2.0,0,0.0
1680,12085933,Coffee,NA,NA,NA,Meh,NA,NA,NA,Blue,Seafoam Green,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
1681,12086006,Flamingo,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,Curious Brows,NA,Red Bandana,Dumbbell,NA,for_sale,0.45,0,0.0
1682,12086004,Carmel,NA,NA,NA,Pleased,Cold,Blue,NA,NA,Primary,Purple Bow,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
1683,12085877,Classic,NA,NA,NA,Pleased,NA,Light Green,NA,NA,NA,NA,NA,NA,NA,Blueberry Icepop,NA,for_sale,0.22,0,0.0
1684,12086008,Grapefruit,NA,NA,NA,Silly,NA,NA,NA,NA,NA,Grey Crown,Curious Brows,NA,NA,NA,NA,for_sale,1.0,0,0.0
1685,12086012,Cornflower,NA,NA,NA,Pissed,NA,NA,Brown Spots,NA,NA,NA,Blue Shades,NA,NA,NA,NA,for_sale,1.0,0,0.0
1686,12086005,Passion Fruit,NA,NA,NA,Happy,NA,NA,NA,NA,NA,Purple Bow,Yellow Orange Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
1687,12085773,Thin Mint,NA,NA,NA,Pissed,NA,NA,NA,NA,NA,NA,VR Blue,NA,NA,NA,NA,unlisted,0.0,0,0.0
1688,12086014,Cornflower,NA,NA,NA,Happy,NA,Light Brown,NA,Lime,Mellow Yellow,NA,VR Green,Black,NA,NA,NA,unlisted,0.0,0,0.0
1689,12086009,Grey,NA,NA,NA,Content,Grey,Tan,NA,Yellow,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
1690,12085954,Blush,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Red Bow,NA,NA,NA,Red Saber,NA,unlisted,0.0,0,0.0
1691,12086020,Cornflower,NA,NA,NA,Pleased,NA,NA,NA,NA,Light Pink,Red Sweatband,Alert Brows,Blue,Red Bandana,NA,NA,unlisted,0.0,0,0.0
1692,12085767,Cornflower,NA,NA,NA,Pleased,NA,Sage,NA,NA,Purples,NA,Pink Purple Shades,NA,NA,NA,NA,for_sale,4.2,0,0.0
1693,12086022,Mellow Yellow,NA,NA,NA,Pleased,Very Cold,Light Green,NA,Grey,NA,Purple Bow,Pissed Brows,Pink,NA,NA,NA,for_sale,1.0,0,0.0
1694,12085815,Fern,NA,NA,NA,Content,NA,Blue,NA,NA,NA,NA,NA,NA,Pink Collar,Lemon Icepop,NA,for_sale,0.3888,0,0.0
1695,12086023,Classic,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Red Beanie With Pompom,Purple Snorkel,NA,NA,Berry Ice Pop,NA,for_sale,4.0,0,0.0
1696,12085946,Classic,NA,NA,NA,Happy,NA,Yellow,NA,NA,Purples,NA,Purple Snorkel,NA,NA,NA,NA,for_sale,0.41,0,0.0
1697,12086027,Black,NA,NA,Off White,Pleased,Pink,Brown,NA,NA,Purples,NA,Dark Blue Round Shades,Green,NA,NA,NA,for_sale,0.76,0,0.0
1698,12086025,Blush,Off White,NA,NA,Happy,NA,NA,NA,NA,NA,NA,Blue Round Shades,Green,Red Bandana,NA,NA,for_sale,2.5,0,0.0
1699,12086029,Passion Fruit,NA,NA,NA,Pissed,NA,NA,NA,Grey,Dark Pink,Yellow Sweatband,VR,NA,NA,NA,NA,for_sale,5.0,0,0.0
1700,12086031,Classic,NA,Pink,Off White,Meh,NA,Light Pink,NA,NA,NA,NA,Orange Round Shades,Black,NA,Blueberry Icepop,NA,for_sale,0.52,0,0.0
1701,12085875,Steel,NA,NA,NA,Happy,NA,Light Pink,NA,Pink,Mellow Yellow,NA,Pink Purple Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
1702,12086030,Blush,NA,NA,Pink,Happy,NA,NA,NA,NA,NA,NA,VR Orange Green,Dark Green,NA,Water,NA,for_sale,2.0,0,0.0
1703,12086036,Blush,NA,NA,NA,Silly,NA,Sage,NA,Lime,Purples,Pink Crown,Blue Round Shades,NA,Red Bandana,Lemon Icepop,NA,for_sale,1.3,0,0.0
1704,12086034,Dark Grey,NA,NA,NA,Pleased,NA,NA,NA,Pink,Neon Green,Green Sweatband,Pink Sunglasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
1705,12086037,Perry Winks,NA,Blue,NA,Happy,Pink,NA,NA,NA,Mellow Yellow,Orange Bow,Curious Brows,Pink,NA,Green Saber,NA,for_sale,7.0,0,0.0
1706,12086026,Dark Grey,NA,NA,NA,Pissed,NA,NA,NA,Yellow,NA,NA,Blue Sunglasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
1707,12086038,Classic,NA,NA,NA,Silly,Pink,NA,NA,NA,Mellow Yellow,NA,Green Readers,NA,NA,Dumbbell,NA,unlisted,0.0,0,0.0
1708,12085936,Blush,NA,NA,NA,Pleased,Very Cold,NA,NA,NA,Neon Green,NA,VR Green,NA,NA,NA,NA,for_sale,0.19,0,0.0
1709,12086043,Steel,NA,NA,NA,Content,NA,NA,The White Stripes,NA,NA,NA,VR Purple,Brown,Green Bandana,NA,NA,unlisted,0.0,0,0.0
1710,12086049,Classic Plus,NA,NA,NA,Silly,NA,NA,NA,Pink,Cold Feet,Green Bow,Purple Snorkel,NA,NA,Blue Saber,NA,for_sale,0.88,0,0.0
1711,12085808,Dark Grey,NA,NA,NA,Happy,NA,NA,NA,Green,NA,NA,Sunglasses,NA,NA,NA,NA,for_sale,0.99,0,0.0
1712,12086052,Basic Pink,NA,NA,NA,Content,NA,NA,NA,NA,NA,NA,Pink Sunglasses,NA,NA,NA,NA,for_sale,0.1,0,0.0
1713,12086054,Classic,NA,NA,NA,Pissed,NA,NA,NA,Lime,NA,Tophat,Yellow Orange Shades,Jeans,Heart,NA,NA,for_sale,0.6,0,0.0
1714,12086055,Classic,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
1715,12086045,Classic,NA,NA,NA,Meh,NA,Sage,NA,NA,NA,NA,Sunglasses,NA,NA,Berry Ice Pop,NA,for_sale,4.8,0,0.0
1716,12086056,Basic Pink,NA,NA,NA,Silly,NA,NA,NA,Grey,NA,Green Crown,NA,NA,Tie,NA,NA,for_sale,0.41,0,0.0
1717,12086059,Walnut,NA,Grey,NA,Meh,Brown,Tan,NA,NA,Primary,Grey Crown,Curious Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
1718,12086061,Fern,NA,NA,NA,Silly,NA,NA,NA,NA,NA,NA,Orange Snorkel,NA,Blue Bandana,Red Saber,NA,for_sale,8.888,0,0.0
1719,12086062,Basic Pink,NA,NA,NA,Silly,NA,NA,NA,NA,NA,Another Red Beanie,VR Orange Green,NA,Heart,Blueberry Icepop,NA,unlisted,0.0,0,0.0
1720,12086044,Lavender,NA,NA,NA,Happy,Brown,NA,NA,NA,NA,Purple Bow,VR Orange Green,NA,NA,NA,NA,unlisted,0.0,0,0.0
1721,12086063,Carmel,Pink,NA,NA,Pleased,NA,NA,NA,NA,NA,Red Beanie With Pompom,Skeptical Brows,NA,Tie,NA,NA,for_sale,0.22,0,0.0
1722,12086064,Pistachio,NA,NA,NA,Unamused,NA,NA,NA,Light Blue,NA,Mellon,Black Red Goggles,NA,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
1723,12086068,Blush,NA,NA,NA,Happy,NA,NA,NA,NA,NA,Red Beanie With Pompom,Light Orange Snorkel,NA,Red Bandana,NA,NA,for_sale,0.21,0,0.0
1724,12086069,Cornflower,NA,NA,Off White,Silly,Very Cold,Blue,NA,Grey,Sage,NA,Green Sunglasses,NA,NA,NA,NA,for_sale,0.41,0,0.0
1725,12086072,Fern,NA,NA,NA,Silly,NA,Light Green,NA,NA,Cold Feet,NA,Red Glasses,Jeans,Green Flowers,NA,NA,unlisted,0.0,0,0.0
1726,12086070,Flamingo,NA,NA,NA,Pleased,NA,Blue,NA,Green,NA,Dark Pink Sweatband,Alert Brows,NA,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
1727,12086077,Fern,NA,Grey,NA,Meh,NA,NA,NA,Yellow,Neon Green,NA,Blue Green Shades,NA,Pink Collar,NA,NA,for_sale,0.3,0,0.0
1728,12086081,Dark Grey,Neon Green,NA,NA,Pissed,Grey,NA,NA,Lime,NA,NA,VR Purple,NA,Purple Bandana,NA,NA,unlisted,0.0,0,0.0
1729,12086067,Mellow Yellow,NA,NA,Blue,Happy,NA,NA,NA,NA,NA,Berry Crown,Green Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
1730,12086073,Mellow Yellow,NA,NA,NA,Pleased,NA,NA,NA,Light Blue,NA,NA,Curious Brows,NA,NA,NA,NA,for_sale,0.3,0,0.0
1731,12086083,Classic,NA,NA,NA,Pleased,Purple,On Fire,NA,Pink,NA,NA,Blue Shield Glasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
1732,12086087,Classic,NA,NA,Blue,Unamused,NA,NA,NA,Brown,Mellow Yellow,Blue Sweatband,Sunglasses,NA,NA,NA,NA,for_sale,0.239,0,0.0
1733,12086047,Walnut,NA,NA,NA,Silly,Brown,Blue,NA,NA,Neon Green,NA,Curious Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
1734,12086091,Mellow Yellow,NA,NA,NA,Meh,NA,NA,NA,NA,NA,Dark Pink Sweatband,Red Glasses,NA,Yellow Bandana,NA,NA,unlisted,0.0,0,0.0
1735,12086092,Classic,NA,Blue,NA,Content,Pink,NA,NA,NA,NA,Orange Bow,NA,Orange,NA,NA,NA,unlisted,0.0,0,0.0
1736,12086095,Mellow Yellow,NA,NA,NA,Pleased,NA,Yellow,NA,NA,NA,Dark Pink Sweatband,NA,Green,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
1737,12086090,Flamingo,NA,NA,NA,Pleased,NA,NA,NA,Blue,Purples,NA,Green Sunglasses,NA,Yellow Bandana,NA,NA,unlisted,0.0,0,0.0
1738,12086075,Classic,NA,NA,NA,Silly,NA,NA,NA,NA,Purples,Dark Pink Sweatband,Blue Readers,NA,NA,NA,NA,unlisted,0.0,0,0.0
1739,12086099,Grapefruit,NA,NA,NA,Silly,NA,NA,NA,Grey,Primary,NA,Green Round Shades,NA,NA,Blueberry Icepop,NA,for_sale,0.8,0,0.0
1740,12086105,Classic,NA,NA,NA,Meh,NA,NA,NA,Brown,Dark Brown,NA,Skeptical Brows,NA,Pumpkin,NA,NA,unlisted,0.0,0,0.0
1741,12086106,Classic,NA,Blue,NA,Happy,Brown,NA,NA,NA,NA,Tophat,Neon Shield Glasses,Dark Green,Green Bandana,NA,NA,unlisted,0.0,0,0.0
1742,12086101,Perry Winks,NA,NA,NA,Pleased,NA,NA,NA,Pink,NA,Purple,Neon Shield Glasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
1743,12086046,Classic,NA,NA,NA,Pissed,NA,NA,NA,NA,NA,NA,VR Green,Dark Green,NA,NA,NA,for_sale,0.25,0,0.0
1744,12086080,Lavender,Off White,NA,NA,Meh,NA,NA,NA,NA,NA,Yellow Sweatband,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
1745,12086107,Carmel,NA,NA,NA,Meh,NA,Purple,NA,Red,NA,NA,Blue Round Shades,NA,Tie,NA,NA,unlisted,0.0,0,0.0
1746,12085991,Coffee,NA,NA,NA,Happy,Pink,NA,NA,NA,NA,Crown,Pink Sunglasses,NA,Red Collar,NA,NA,unlisted,0.0,0,0.0
1747,12085888,Grey,NA,NA,NA,Happy,NA,NA,NA,NA,Dark Purple,NA,Surprised Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
1748,12086111,Classic,NA,Grey,NA,Happy,NA,NA,NA,Brown,NA,Green Crown,Orange Snorkel,Jeans,Green Bandana,NA,NA,unlisted,0.0,0,0.0
1749,12086122,Free Britney,NA,Brown,NA,Unamused,Orange,NA,NA,NA,NA,Pink Crown,Blue Shield Glasses,NA,Yellow Heart,NA,NA,unlisted,0.0,0,0.0
1750,12086116,Steel,NA,NA,NA,Pissed,Brown,NA,NA,NA,NA,NA,Green Readers,NA,Blue Collar,Red Saber,NA,unlisted,0.0,0,0.0
1751,12086114,Carmel,NA,NA,NA,Meh,Brown,NA,NA,NA,NA,NA,Pissed Brows,NA,NA,NA,NA,for_sale,0.81,0,0.0
1752,12086124,Classic,NA,NA,Off White,Silly,NA,NA,NA,Light Blue,NA,NA,Yellow Goggles,Blue,NA,Water,NA,for_sale,0.3,0,0.0
1753,12086126,Steel,Teal,NA,NA,Content,NA,NA,NA,Grey,Neon Green,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
1754,12086128,Flamingo,NA,NA,NA,Silly,NA,NA,NA,NA,NA,NA,Curious Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
1755,12086132,Black,NA,NA,NA,Unamused,NA,Sage,NA,Yellow,Purples,Red Sweatband,Curious Brows,Green,Tie,NA,NA,for_sale,1.47,0,0.0
1756,12086131,Fire,NA,NA,NA,Silly,NA,Sage,White Spots,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
1757,12086136,Basic Pink,NA,NA,NA,Content,NA,NA,NA,Green,Cold Feet,Red Beanie With Pompom,Yellow Goggles,NA,Purple Bandana,NA,NA,unlisted,0.0,0,0.0
1758,12086015,Perry Winks,NA,NA,NA,Meh,Pink,Purple,NA,Lime,NA,NA,NA,NA,Green Bandana,NA,NA,unlisted,0.0,0,0.0
1759,12086138,Fire,NA,NA,Brown,Pleased,NA,NA,NA,NA,Cold Feet,Another Red Beanie,Pink Protective Goggles,Blue,Pink Collar,NA,NA,for_sale,4.99,0,0.0
1760,12086141,Classic,NA,NA,NA,Pleased,NA,NA,NA,Green,NA,Red Beanie With Pompom,Yellow Orange Shades,NA,NA,Berry Ice Pop,NA,for_sale,0.69,0,0.0
1761,12086098,Mellow Yellow,NA,NA,NA,Meh,NA,NA,NA,Lime,NA,Pink Crown,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
1762,12086137,Classic,NA,NA,NA,Pleased,NA,NA,NA,Yellow,NA,Blue Sweatband,Neon Shield Glasses,NA,Blue Bandana,NA,NA,for_sale,0.1,0,0.0
1763,12086143,Black,NA,NA,NA,Pleased,NA,Sage,NA,Lime,NA,Pink Crown,NA,NA,NA,Water,NA,for_sale,0.53,0,0.0
1764,12086145,Teal,NA,NA,NA,Happy,Brown,NA,NA,NA,Seafoam Green,Purple Bow,NA,Jeans,NA,Blue Saber,NA,unlisted,0.0,0,0.0
1765,12086084,Flamingo,NA,NA,NA,Unamused,NA,NA,NA,Green,NA,NA,Neon Shield Glasses,NA,Red Bandana,NA,NA,unlisted,0.0,0,0.0
1766,12086082,Black,NA,NA,NA,Pissed,NA,NA,NA,NA,NA,Yellow Sweatband,Skeptical Brows,NA,NA,Strawberry Ice Cream,NA,unlisted,0.0,0,0.0
1767,12085902,Lavender,NA,NA,NA,Silly,NA,Brown,NA,NA,NA,Teal Hat,Blue Readers,NA,NA,NA,NA,unlisted,0.0,0,0.0
1768,12086146,Cornflower,NA,NA,NA,Happy,NA,NA,NA,NA,Light Pink,Berry Crown,Curious Brows,NA,NA,Green Saber,NA,for_sale,0.95,0,0.0
1769,12086147,Classic,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,Pissed Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
1770,12086130,Classic,NA,NA,NA,Pleased,NA,NA,NA,NA,Dark Purple,NA,NA,NA,Purple Heart,NA,NA,for_sale,1.0,0,0.0
1771,12086150,Cornflower,NA,NA,NA,Pleased,Purple,NA,NA,Pink,NA,Blue Sweatband,Pissed Brows,NA,Heart,NA,NA,for_sale,0.6,0,0.0
1772,12086151,Basic Pink,NA,NA,NA,Happy,NA,NA,White Spots,Yellow,NA,Purple Bow,3D Glasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
1773,12086155,Classic,NA,Grey,NA,Pleased,Brown,NA,NA,NA,NA,Yellow Sweatband,Green Goggles,NA,Blue Bandana,Wine,NA,for_sale,1.0,0,0.0
1774,12086156,Classic,NA,NA,NA,Silly,NA,Light Pink,NA,Yellow,Purples,NA,Pink Protective Goggles,NA,Green Bandana,Blue Saber,NA,unlisted,0.0,0,0.0
1775,12086154,Classic,NA,NA,Brown,Unamused,NA,NA,NA,Light Blue,NA,Another Red Beanie,Purple Round Shades,NA,Purple Bandana,NA,NA,for_sale,0.39,0,0.0
1776,12086157,Grapefruit,NA,Brown,NA,Happy,Purple,NA,NA,Green,NA,Blue Sweatband,VR,NA,NA,NA,NA,for_sale,0.45,0,0.0
1777,12085920,Classic,NA,NA,NA,Unamused,NA,NA,NA,Light Blue,NA,NA,Yellow Orange Shades,NA,Green Bandana,NA,NA,for_sale,0.55,0,0.0
1778,12086161,Classic,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Crown,Pink Purple Shades,NA,NA,NA,NA,for_sale,1.0,0,0.0
1779,12086164,Dark Grey,NA,NA,NA,Content,Orange,Yellow,NA,NA,NA,Green Sweatband,Red Glasses,NA,Green Bandana,NA,NA,unlisted,0.0,0,0.0
1780,12086168,Coffee,Blue,NA,NA,Content,Brown,NA,NA,NA,Cold Feet,Red Bow,Purple Snorkel,NA,NA,NA,NA,for_sale,0.8,0,0.0
1781,12086169,Passion Fruit,NA,NA,NA,Unamused,NA,NA,NA,NA,NA,Dark Pink Sweatband,Curious Brows,NA,Purple Heart,Lemon Icepop,NA,unlisted,0.0,0,0.0
1782,12086171,Blush,Orange,NA,NA,Content,NA,Tan,NA,Yellow,NA,NA,NA,NA,NA,NA,NA,for_sale,0.49,0,0.0
1783,12086162,Pistachio,NA,NA,NA,Pleased,Very Cold,NA,NA,NA,NA,Purple Bow,Pink Sunglasses,NA,Blue Bandana,NA,NA,for_sale,0.25,0,0.0
1784,12086175,Classic,NA,NA,NA,Happy,NA,Tan,NA,Green,Mellow Yellow,Small Pink Bow,Pink Sunglasses,NA,Red Bandana,Lemon Icepop,NA,for_sale,0.8,0,0.0
