Number,Block,Base,Fluff,Forehead,Belly,Mood,Nose,Tail,Pelt,Outline,Paws,Head,Face,Bottoms,Top,Tools,Unique,Status,Price,Offer,MaxOffer
2460,12090073,Lavender,NA,NA,NA,Pleased,Pink,NA,NA,NA,Purples,Purple Bow,Pink Protective Goggles,Jeans,NA,NA,NA,unlisted,0.0,0,0.0
2461,12090087,Grapefruit,NA,NA,NA,Happy,NA,NA,NA,NA,NA,Pink Crown,Blue Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
2462,12090075,Black,NA,NA,NA,Happy,NA,Blue,NA,Blue,NA,Teal Hat,Purple Snorkel,NA,NA,Dumbbell,NA,unlisted,0.0,0,0.0
2463,12090138,Cornflower,Neon Green,NA,NA,Pissed,Grey,Yellow,NA,Grey,Mellow Yellow,NA,Sunglasses,Dark Green,NA,NA,NA,unlisted,0.0,0,0.0
2464,12090031,Pistachio,NA,NA,Off White,Happy,Cold,Purple,NA,NA,NA,NA,Pink Sunglasses,Pink,NA,Wine,NA,unlisted,0.0,0,0.0
2465,12090158,Mellow Yellow,Tan,NA,NA,Meh,Brown,NA,NA,NA,NA,Another Red Beanie,Skeptical Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
2466,12090172,Carmel,NA,NA,NA,Unamused,NA,NA,NA,Lime,NA,Pink Crown,Neon Shield Glasses,Brown,Green Bandana,NA,NA,unlisted,0.0,0,0.0
2467,12090181,Dark Grey,Orange,NA,NA,Meh,Orange,NA,NA,NA,Cold Feet,Grey Crown,VR Blue,Orange,NA,NA,NA,for_sale,0.25,0,0.0
2468,12090187,Stallion,NA,NA,NA,Silly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
2469,12090197,Basic Pink,Orange,NA,NA,Pissed,NA,On Fire,NA,NA,NA,NA,Curious Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
2470,12090213,Dark Grey,NA,NA,NA,Silly,NA,Blue,NA,Lime,NA,Pink Crown,Yellow Goggles,NA,Red Bandana,Water,NA,unlisted,0.0,0,0.0
2471,12090219,Blush,NA,NA,NA,Happy,NA,NA,NA,Lime,Red,Dark Pink Sweatband,Orange Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
2472,12090211,Classic Plus,NA,Blue,NA,Silly,NA,Sage,NA,NA,NA,NA,VR Green,NA,Green Bandana,NA,NA,unlisted,0.0,0,0.0
2473,12090275,Perry Winks,Neon Green,NA,NA,Unamused,NA,Tan,NA,Pink,Neon Green,NA,Light Orange Snorkel,Brown,Green Bandana,NA,NA,unlisted,0.0,0,0.0
2474,12090288,Walnut,NA,NA,Blue,Pleased,NA,NA,NA,Pink,Neon Green,Coachella,NA,NA,Pumpkin,Dumbbell,NA,unlisted,0.0,0,0.0
2475,12090289,Teal,Orange,NA,NA,Meh,NA,Sage,NA,NA,Pastel,NA,Skeptical Brows,Dark Green,Orange Flowers,NA,NA,unlisted,0.0,0,0.0
2476,12090317,Passion Fruit,NA,NA,NA,Happy,NA,On Fire,NA,Pink,NA,Berry Crown,NA,Blue,NA,Lemon Icepop,NA,unlisted,0.0,0,0.0
2477,12090278,Cornflower,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,Purple Snorkel,NA,Red Bandana,Dumbbell,NA,unlisted,0.0,0,0.0
2478,12090399,Blush,NA,Brown,Off White,Content,Grey,NA,NA,Red,NA,NA,Purple Pink Shades,NA,NA,Strawberry Ice Cream,NA,for_sale,1.0,0,0.0
2479,12090457,Pistachio,NA,NA,NA,Pleased,Grey,Tan,NA,Red,Red,Black Beanie,Black Red Goggles,NA,NA,Wine,NA,unlisted,0.0,0,0.0
2480,12090351,Carmel,NA,NA,NA,Meh,NA,NA,NA,Light Blue,Dark Pink,Dark Purple Sweatband,Green Sunglasses,Pink,Green Bandana,NA,NA,for_sale,0.3,0,0.0
2481,12090482,Basic Pink,NA,NA,Off White,Silly,NA,NA,NA,Pink,Dark Purple,Black Beanie,Surprised Brows,Jeans,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
2482,12090436,Lavender,Teal,NA,NA,Pleased,NA,NA,NA,Yellow,NA,NA,Green Sunglasses,Orange,Blue Collar,Berry Ice Pop,NA,unlisted,0.0,0,0.0
2483,12090518,Grey,Pink,NA,NA,Happy,Brown,NA,NA,NA,NA,Mellon,Blue Green Shades,Pink,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
2484,12090522,Mellow Yellow,NA,NA,NA,Meh,Orange,NA,NA,Light Blue,NA,Bug,Curious Brows,NA,NA,Strawberry Ice Cream,NA,unlisted,0.0,0,0.0
2485,12090539,Thin Mint,NA,NA,NA,Content,Pink,NA,NA,NA,Cold Feet,Purple Bow,Surprised Brows,Dark Green,NA,Blue Saber,NA,unlisted,0.0,0,0.0
2486,12090424,Classic,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
2487,12090489,Ocean,NA,NA,NA,Happy,NA,NA,NA,Pink,NA,NA,Curious Brows,NA,NA,Green Saber,NA,unlisted,0.0,0,0.0
2488,12090481,Grey,NA,Grey,NA,Pissed,NA,NA,White Spots,NA,NA,NA,Blue Shield Glasses,NA,Red Bandana,Water,NA,unlisted,0.0,0,0.0
2489,12090391,Blush,NA,NA,NA,Silly,Very Cold,NA,NA,NA,NA,Yellow Sweatband,Blue Shades,NA,Yellow Bandana,Strawberry Ice Cream,NA,unlisted,0.0,0,0.0
2490,12090603,Classic,NA,NA,NA,Content,Grey,Light Green,NA,NA,NA,NA,NA,NA,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
2491,12090615,Pistachio,NA,NA,NA,Silly,NA,Purple,NA,NA,Neon Green,Tophat,VR Green,NA,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
2492,12090473,Mellow Yellow,NA,NA,NA,Pleased,Pink,NA,NA,NA,Neon Green,NA,Purple Round Shades,Brown,Yellow Bandana,Lemon Icepop,NA,unlisted,0.0,0,0.0
2493,12090490,Blush,Off White,NA,NA,Unamused,Brown,NA,NA,NA,NA,Red Beanie,Curious Brows,NA,Blue Collar,Dumbbell,NA,for_sale,0.998,0,0.0
2494,12090752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pillhead,unlisted,0.0,1,0.5
2495,12090754,Perry Winks,Teal,Cream,NA,Meh,NA,NA,NA,Brown,NA,Pumpkin Top,VR Orange Green,NA,Purple Bandana,Strawberry Ice Cream,NA,for_sale,0.9,0,0.0
2496,12090760,Stallion,NA,NA,NA,Unamused,Grey,Light Brown,NA,NA,Seafoam Green,Teal Hat,Skeptical Brows,NA,Green Bandana,NA,NA,unlisted,0.0,0,0.0
2497,12090787,Black,NA,NA,Off White,Content,NA,Tan,Brown Spots,NA,NA,Green Beanie,VR,NA,NA,NA,NA,unlisted,0.0,0,0.0
2498,12090852,Classic Plus,NA,NA,NA,Pleased,Very Cold,NA,NA,NA,Dark Brown,NA,Black Red Goggles,NA,NA,NA,NA,unlisted,0.0,0,0.0
2499,12090900,Stallion,NA,Grey,Blue,Happy,NA,NA,NA,NA,NA,NA,Neon Shield Glasses,NA,Purple Heart,NA,NA,for_sale,0.75,0,0.0
2500,12090968,Lavender,NA,NA,NA,Unamused,Cold,NA,NA,Yellow,Purples,NA,Sunglasses,Pink,Green Flowers,NA,NA,unlisted,0.0,0,0.0
2501,12090913,Stallion,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Blue Sweatband,NA,NA,NA,Green Saber,NA,unlisted,0.0,0,0.0
2502,12090780,Mellow Yellow,NA,NA,NA,Meh,NA,NA,NA,Yellow,Mellow Yellow,NA,NA,NA,Pink Collar,NA,NA,for_sale,0.6,0,0.0
2503,12091033,Dark Grey,NA,NA,NA,Content,Brown,Blue,NA,Lime,NA,NA,Purple Pink Shades,NA,Pumpkin,NA,NA,for_sale,1.5,0,0.0
2504,12090980,Classic,NA,NA,Off White,Pleased,Brown,Light Pink,NA,Green,NA,Teal Hat,Alert Brows,NA,NA,Green Saber,NA,for_sale,0.6,0,0.0
2505,12091026,Black,NA,NA,Off White,Meh,NA,Light Green,NA,Blue,Mellow Yellow,NA,Blue Sunglasses,NA,NA,Blueberry Icepop,NA,unlisted,0.0,0,0.0
2506,12090999,Black,NA,NA,Grey,Silly,NA,Light Pink,NA,NA,Neon Green,NA,NA,NA,Yellow Heart,Red Saber,NA,unlisted,0.0,0,0.0
2507,12090836,Basic Pink,NA,NA,NA,Unamused,Brown,NA,NA,NA,NA,NA,Green Blue Goggles,Orange,Red Collar,Blue Saber,NA,unlisted,0.0,0,0.0
2508,12090934,Teal,NA,NA,NA,Happy,NA,NA,NA,NA,NA,Crown,Pissed Brows,Jeans,Yellow Heart,NA,NA,for_sale,0.5,0,0.0
2509,12090931,Blush,NA,NA,NA,Pissed,NA,NA,NA,NA,Dark Brown,Green Beanie,Alert Brows,NA,NA,Dumbbell,NA,unlisted,0.0,0,0.0
2510,12090963,Mellow Yellow,NA,Blue,NA,Pleased,Pink,Blue,NA,Lime,Neon Green,Tophat,Alert Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
2511,12091151,Black,Orange,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,VR,NA,Red Bandana,NA,NA,unlisted,0.0,0,0.0
2512,12091144,Classic,NA,NA,NA,Content,NA,Light Brown,NA,Green,Dark Pink,Red Beanie With Pompom,Surprised Brows,NA,Orange Flowers,NA,NA,unlisted,0.0,0,0.0
2513,12091175,Classic,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,for_sale,10.0,0,0.0
2514,12091198,Grapefruit,NA,NA,NA,Happy,NA,NA,NA,Light Blue,NA,NA,NA,NA,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
2515,12091224,Basic Pink,NA,NA,NA,Meh,Orange,Brown,NA,NA,NA,NA,Pink Sunglasses,Orange,Red Bandana,Red Saber,NA,unlisted,0.0,0,0.0
2516,12091205,Steel,NA,NA,NA,Pissed,NA,NA,NA,Yellow,NA,NA,Alert Brows,NA,Red Bandana,Wine,NA,unlisted,0.0,0,0.0
2517,12091259,Steel,NA,NA,NA,Pleased,NA,NA,NA,Lime,NA,Green Crown,Pink Sunglasses,NA,NA,Green Saber,NA,unlisted,0.0,0,0.0
2518,12091262,Grapefruit,NA,NA,NA,Happy,Brown,NA,White Spots,NA,NA,Birthday Blue,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
2519,12091253,Carmel,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,Pink Protective Goggles,Blue,Yellow Heart,NA,NA,unlisted,0.0,0,0.0
2520,12091246,Fire,NA,NA,NA,Happy,NA,NA,NA,Lime,Purples,Green Beanie,NA,Dark Green,NA,Blueberry Icepop,NA,unlisted,0.0,0,0.0
2521,12091266,Cornflower,NA,NA,NA,Happy,NA,Light Brown,NA,NA,NA,NA,Pink Sunglasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
2522,12091276,Walnut,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Green Beanie,Blue Round Shades,NA,Yellow Bandana,NA,NA,unlisted,0.0,0,0.0
2523,12091217,Classic,NA,NA,NA,Pleased,Pink,Yellow,NA,NA,NA,NA,Skeptical Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
2524,12091237,Coffee,NA,NA,NA,Pleased,NA,Brown,NA,Brown,Purples,Purple Sweatband,Pissed Brows,Blue,NA,NA,NA,for_sale,0.55,0,0.0
